车次,日期.y,车站.y,实际到达.y,实际出发.y,图定到达.y,图定出发.y,轨道.y
G1108,2015-03-24,英德西,2015-3-24 7:19,2015-3-24 7:19,2015-3-24 7:20,2015-3-24 7:20,II道
G1120,2015-03-24,英德西,2015-3-24 7:25,2015-3-24 7:25,2015-3-24 7:26,2015-3-24 7:26,II道
G836,2015-03-24,英德西,2015-3-24 7:32,2015-3-24 7:32,2015-3-24 7:33,2015-3-24 7:33,II道
G1002,2015-03-24,英德西,2015-3-24 7:38,2015-3-24 7:38,2015-3-24 7:39,2015-3-24 7:39,II道
G1132,2015-03-24,英德西,2015-3-24 7:49,2015-3-24 7:49,2015-3-24 7:51,2015-3-24 7:51,II道
G94,2015-03-24,英德西,2015-3-24 7:56,2015-3-24 7:56,2015-3-24 7:56,2015-3-24 7:56,II道
G1118,2015-03-24,英德西,2015-3-24 8:03,2015-3-24 8:03,2015-3-24 8:06,2015-3-24 8:06,II道
G546,2015-03-24,英德西,2015-3-24 8:13,2015-3-24 8:13,2015-3-24 8:13,2015-3-24 8:13,II道
G1136,2015-03-24,英德西,2015-3-24 8:16,2015-3-24 8:16,2015-3-24 8:19,2015-3-24 8:19,II道
G74,2015-03-24,英德西,2015-3-24 8:24,2015-3-24 8:24,2015-3-24 8:26,2015-3-24 8:26,II道
G6002,2015-03-24,英德西,2015-3-24 8:33,2015-3-24 8:33,2015-3-24 8:33,2015-3-24 8:33,II道
G548,2015-03-24,英德西,2015-3-24 8:42,2015-3-24 8:42,2015-3-24 8:38,2015-3-24 8:38,II道
G6116,2015-03-24,英德西,2015-3-24 8:55,2015-3-24 8:55,2015-3-24 8:51,2015-3-24 8:51,II道
G818,2015-03-24,英德西,2015-3-24 9:04,2015-3-24 9:04,2015-3-24 9:04,2015-3-24 9:04,II道
G1106,2015-03-24,英德西,2015-3-24 9:07,2015-3-24 9:07,2015-3-24 9:08,2015-3-24 9:08,II道
G6022,2015-03-24,英德西,2015-3-24 9:15,2015-3-24 9:16,2015-3-24 9:17,2015-3-24 9:19,4道
G1306,2015-03-24,英德西,2015-3-24 9:27,2015-3-24 9:27,2015-3-24 9:28,2015-3-24 9:28,II道
G1104,2015-03-24,英德西,2015-3-24 9:31,2015-3-24 9:31,2015-3-24 9:34,2015-3-24 9:34,II道
G76,2015-03-24,英德西,2015-3-24 9:38,2015-3-24 9:38,2015-3-24 9:40,2015-3-24 9:40,II道
G632,2015-03-24,英德西,2015-3-24 9:47,2015-3-24 9:47,2015-3-24 9:48,2015-3-24 9:48,II道
G1406,2015-03-24,英德西,2015-3-24 9:54,2015-3-24 9:55,2015-3-24 9:56,2015-3-24 9:58,4道
G532,2015-03-24,英德西,2015-3-24 10:04,2015-3-24 10:04,2015-3-24 10:06,2015-3-24 10:06,II道
G6118,2015-03-24,英德西,2015-3-24 10:11,2015-3-24 10:11,2015-3-24 10:12,2015-3-24 10:12,II道
G832,2015-03-24,英德西,2015-3-24 10:21,2015-3-24 10:22,2015-3-24 10:22,2015-3-24 10:24,4道
G1404,2015-03-24,英德西,2015-3-24 10:33,2015-3-24 10:33,2015-3-24 10:33,2015-3-24 10:33,II道
G552,2015-03-24,英德西,2015-3-24 10:38,2015-3-24 10:38,2015-3-24 10:38,2015-3-24 10:38,II道
G276,2015-03-24,英德西,2015-3-24 10:46,2015-3-24 10:46,2015-3-24 10:45,2015-3-24 10:45,II道
G1110,2015-03-24,英德西,2015-3-24 10:53,2015-3-24 10:55,2015-3-24 10:52,2015-3-24 10:54,4道
G1032,2015-03-24,英德西,2015-3-24 11:00,2015-3-24 11:00,2015-3-24 11:03,2015-3-24 11:03,II道
G6122,2015-03-24,英德西,2015-3-24 11:06,2015-3-24 11:06,2015-3-24 11:08,2015-3-24 11:08,II道
G544,2015-03-24,英德西,2015-3-24 11:15,2015-3-24 11:15,2015-3-24 11:13,2015-3-24 11:13,II道
G1018,2015-03-24,英德西,2015-3-24 11:30,2015-3-24 11:30,2015-3-24 11:25,2015-3-24 11:25,II道
